Datenpunkt ID;Name;ADDR
SWIndex_SolarNR1;Solarregelung Software-Index;0x0A6C
AE_Eingang1;ext. Anfordern/ Betriebsartenumschaltung;0x0A80
AE_Eingang2;ext. Sperren;0x0A81
ExtAE_Sammel;Sammelstîrung;0x0A82
AE_Eingang0_10;Eingang 0-10 V;0x0A86
Sachnummer_GWG_Codierstecker;Sachnummer Codierstecker;0x1010
GWG_Codierstecker_Jahr;Inbetriebnahmedatum Jahr;0x1020
GWG_Codierstecker_Monat;Inbetriebnahmedatum Monat;0x1020
GWG_Codierstecker_Tag;Inbetriebnahmedatum Tag;0x1020
GWG_Codierstecker_maxHZ_Leistung;GWG32: Begrenzung max. Heizleistung;0x1030
GWG_Codierstecker_UV;GWG34: Bauart Umschaltventil;0x1030
GWG_Codierstecker_maxWW_Leistung;GWG30: Begrenzung max. Warmwasserleistung;0x1030
GWG_Codierstecker_Kennziffer;Kennziffer Codierkarte;0x1040
GWG_Codierstecker_Brennertyp;GWG53: Brennertyp;0x1050
GWG_Codierstecker_Geraetetyp;GWG50: GerÑtetyp;0x1050
GWG_Codierstecker_BereichWWSollMin;GWG5B: Bereichsgrenze min. Warmwassersolltemperatur;0x1050
GWG_Codierstecker_WWmaxLeistung;GWG5C: Absolute Begrenzung max. Warmwasserleistung;0x1050
GWG_Codierstecker_HZmaxLeistung;GWG5D: Absolute Begrenzung max. Heizleistung;0x1050
GWG_Codierstecker_BereichWWSollMax;GWG5A: Bereichsgrenze max. Warmwassersolltemperatur;0x1050
GWG_Codierstecker_BereichKTSollMax;GWG58: Bereichsgrenze max. Kesselsolltemperatur;0x1050
GWG_Codierstecker_BauartWW;GWG51: Bauart Warmwasser;0x1050
GWG_Codierstecker_BereichKTSollMin;GWG59: Bereichsgrenze min. Kesselsolltemperatur;0x1050
GWG_Codierstecker_Pause_Abbruch;GWG66: Differenztemperatur zum Abbruch der Brennermindestpausenzeit;0x1060
GWG_Codierstecker_Pause_AbbruchT;GWG67: Temperatur zum Abbruch der Brennermindestpausenzeit;0x1060
GWG_Codierstecker_N_KT_Regler;GWG63: Reglernachstellzeit KT-Regler;0x1060
GWG_Codierstecker_AusDiff;GWG61: Ausschaltdifferenz;0x1060
GWG_Codierstecker_AusMax;GWG64: Ausschaltdifferenz Brenner bei Volllast;0x1060
GWG_Codierstecker_KT_Regler;GWG62: ReglerverstÑrkung KT-Regler;0x1060
GWG_Codierstecker_EinDiff;GWG60: Einschaltdifferenz;0x1060
GWG_Codierstecker_Pause;GWG65: Brennermindestpausenzeit;0x1060
GWG_Codierstecker_KTMin;GWG70: Minimale Kesseltemperatur;0x1070
GWG_Codierstecker_BRMin;GWG71: Brennerminimalleistung;0x1070
GWG_Codierstecker_Nach;GWG76: Nachlaufzeit Interne Pumpe;0x1070
GWG_Codierstecker_PSollSP;GWG74: Kesselsollleistung im SP-Betrieb;0x1070
GWG_Codierstecker_BROffset;GWG72: Offset modulierender Brenner;0x1070
GWG_Codierstecker_DrehzMin;GWG75: Mindestdrehzahl Interne Pumpe;0x1070
GWG_Codierstecker_BROpt;GWG73: Anfahroptimierung modulierender Brenner;0x1070
GWG_Codierstecker_GWG86;GWG86: DLH Reglernachstellzeit;0x1080
GWG_Codierstecker_GWG87;GWG87: DLH Ausschaltdifferenz;0x1080
GWG_Codierstecker_GWG84;GWG84: DLH ReglerverstÑrkung;0x1080
GWG_Codierstecker_GWG80;GWG80: DLH Ausschaltdifferenz Start-Stop Bedingung;0x1080
GWG_Codierstecker_GWG85;GWG85: DLH Reglervorhaltezeit;0x1080
GWG_Codierstecker_GWG83;GWG83: DLH maximale Anstiegsze?it;0x1080
GWG_Codierstecker_GWG88;GWG88: Zirkulationspumpe bei Speicherladung;0x1080
GWG_Codierstecker_GWG82;GWG82: DLH Nachlaufzeit;0x1080
GWG_Codierstecker_GWG81;GWG81: DLH Einschaltdifferenz Start-Stop Bedingung;0x1080
GWG_Codierstecker_GWG92;GWG92: Modulationsgrad bei 20% Leistung;0x1090
GWG_Codierstecker_GWG96;GWG96: Modulationsgrad bei 60% Leistung;0x1090
GWG_Codierstecker_GWG99;GWG99: Modulationsgrad bei 90% Leistung;0x1090
GWG_Codierstecker_GWG95;GWG95: Modulationsgrad bei 50% Leistung;0x1090
GWG_Codierstecker_GWG97;GWG97: Modulationsgrad bei 70% Leistung;0x1090
GWG_Codierstecker_GWG9A;GWG9A: Modulationsgrad bei 100% Leistung;0x1090
GWG_Codierstecker_GWG94;GWG94: Modulationsgrad bei 40% Leistung;0x1090
GWG_Codierstecker_GWG98;GWG98: Modulationsgrad bei 80% Leistung;0x1090
GWG_Codierstecker_GWG91;GWG91: Modulationsgrad bei 10% Leistung;0x1090
GWG_Codierstecker_GWG93;GWG93: Modulationsgrad bei 30% Leistung;0x1090
GWG_Codierstecker_GWGA2;GWGA2: Viessmann UV Schrittzahl Verstellweg x2;0x10A0
GWG_Codierstecker_GWGA1;GWGA1: Viessmann UV Frequenz Verstellweg x1;0x10A0
GWG_Codierstecker_GWGA8;GWGA8: Viessmann UV Schrittzahl Verstellweg x5;0x10A0
GWG_Codierstecker_GWGA4;GWGA4: Viessmann UV Schrittzahl Verstellweg x3;0x10A0
GWG_Codierstecker_GWGA6;GWGA6: Viessmann UV Schrittzahl Verstellweg x4;0x10A0
GWG_Codierstecker_GWGA3;GWGA3: Viessmann UV Frequenz Verstellweg x2;0x10A0
GWG_Codierstecker_GWGA5;GWGA5: Viessmann UV Frequenz Verstellweg x3;0x10A0
GWG_Codierstecker_GWGA0;GWGA0: Viessmann UV Schrittzahl Verstellweg x1;0x10A0
GWG_Codierstecker_GWGA7;GWGA7: Viessmann UV Frequenz Verstellweg x4;0x10A0
GWG_Codierstecker_GWGAA;GWGAA: Viessmann UV Position Heizen;0x10A0
